"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Virginia","Henrico",2021,363,284,78,1,0,0,0,112,57,40,1,1,194,167,0
"Virginia","Hopewell City",2021,53,53,0,0,0,0,0,31,12,7,0,0,0,0,53
"Virginia","Loudoun",2021,364,324,39,1,0,0,0,122,51,36,0,10,319,35,0
"Virginia","Lynchburg City",2021,119,110,9,0,0,0,0,91,46,24,0,0,0,119,0
"Virginia","Madison",2021,364,327,37,0,0,0,0,88,51,39,0,0,343,21,0
"Virginia","Norfolk City",2021,362,351,11,0,0,0,0,84,35,18,7,273,0,82,0
"Virginia","Pittsylvania",2021,335,335,0,0,0,0,0,21,7,3,0,335,0,0,0
"Virginia","Prince Edward",2021,356,343,13,0,0,0,0,80,45,33,0,0,356,0,0
"Virginia","Prince William",2021,359,333,25,1,0,0,0,119,49,35,0,10,349,0,0
"Virginia","Richmond City",2021,363,311,51,1,0,0,0,101,52,33,2,105,0,256,0
"Virginia","Roanoke",2021,365,302,62,1,0,0,0,106,57,39,1,9,162,193,0
"Virginia","Rockbridge",2021,263,255,8,0,0,0,0,64,45,34,0,0,240,23,0
"Virginia","Rockingham",2021,363,328,35,0,0,0,0,87,50,34,0,97,223,43,0
"Virginia","Salem City",2021,120,112,8,0,0,0,0,90,47,26,0,0,0,120,0
"Virginia","Stafford",2021,358,337,20,1,0,0,0,115,47,35,0,0,357,0,1
"Virginia","Suffolk City",2021,245,228,17,0,0,0,0,90,49,37,0,0,245,0,0
"Virginia","Virginia Beach City",2021,105,98,7,0,0,0,0,80,48,26,0,0,0,105,0
"Virginia","Wythe",2021,242,228,14,0,0,0,0,71,49,39,0,0,242,0,0
"Washington","Adams",2021,364,340,17,3,4,0,0,180,34,14,0,0,0,364,0
"Washington","Asotin",2021,335,225,91,14,4,1,0,208,81,36,0,0,0,335,0
"Washington","Benton",2021,365,300,56,6,3,0,0,172,61,35,0,0,129,155,81
"Washington","Chelan",2021,365,324,36,2,3,0,0,184,52,23,0,0,0,365,0
"Washington","Clallam",2021,365,348,17,0,0,0,0,78,44,34,0,0,271,94,0
"Washington","Clark",2021,365,331,34,0,0,0,0,98,50,30,0,0,154,211,0
"Washington","Columbia",2021,365,324,33,3,5,0,0,166,52,37,0,0,293,72,0
"Washington","Cowlitz",2021,365,360,5,0,0,0,0,59,29,15,0,0,0,365,0
"Washington","Franklin",2021,320,308,12,0,0,0,0,82,34,16,0,0,0,320,0
"Washington","Garfield",2021,334,295,33,1,5,0,0,199,58,15,0,0,0,334,0
"Washington","Grant",2021,365,337,22,1,5,0,0,188,44,19,0,0,0,365,0
"Washington","Grays Harbor",2021,365,359,6,0,0,0,0,80,32,20,0,0,0,365,0
"Washington","Jefferson",2021,358,355,3,0,0,0,0,76,24,15,0,0,0,358,0
"Washington","King",2021,365,311,49,3,2,0,0,177,55,37,0,40,175,150,0
"Washington","Kitsap",2021,359,353,5,1,0,0,0,113,33,20,0,0,0,359,0
"Washington","Kittitas",2021,365,336,24,3,2,0,0,167,46,21,0,0,0,365,0
"Washington","Klickitat",2021,51,50,1,0,0,0,0,73,27,15,0,0,0,51,0
"Washington","Lewis",2021,344,339,5,0,0,0,0,55,33,18,0,0,0,344,0
"Washington","Mason",2021,361,354,7,0,0,0,0,67,32,17,0,0,0,361,0
"Washington","Okanogan",2021,365,211,128,5,11,9,1,302,84,44,0,0,0,365,0
"Washington","Pend Oreille",2021,360,313,38,3,6,0,0,184,54,26,0,0,0,360,0
"Washington","Pierce",2021,365,309,56,0,0,0,0,93,54,40,0,9,257,99,0
"Washington","Skagit",2021,314,309,4,1,0,0,0,101,36,23,0,0,97,217,0
"Washington","Snohomish",2021,365,301,61,3,0,0,0,137,58,26,0,0,0,365,0
"Washington","Spokane",2021,365,284,72,3,6,0,0,183,65,40,0,0,135,222,8
"Washington","Stevens",2021,365,265,84,6,10,0,0,198,71,35,0,0,0,312,53
"Washington","Thurston",2021,329,324,5,0,0,0,0,58,31,15,0,0,0,329,0
"Washington","Walla Walla",2021,365,324,36,3,2,0,0,166,54,23,0,0,0,168,197
"Washington","Whatcom",2021,327,321,5,1,0,0,0,129,39,27,0,0,167,160,0
"Washington","Whitman",2021,365,325,30,5,5,0,0,196,52,16,0,0,0,365,0
"Washington","Yakima",2021,365,232,106,12,15,0,0,192,89,40,0,0,0,359,6
"West Virginia","Berkeley",2021,273,230,43,0,0,0,0,93,56,38,0,0,207,66,0
"West Virginia","Brooke",2021,362,325,37,0,0,0,0,81,51,20,0,0,0,122,240
"West Virginia","Cabell",2021,283,252,31,0,0,0,0,86,51,36,0,0,218,65,0
"West Virginia","Gilmer",2021,358,350,8,0,0,0,0,74,42,31,0,0,358,0,0
"West Virginia","Greenbrier",2021,231,223,8,0,0,0,0,64,46,37,0,0,231,0,0
"West Virginia","Hancock",2021,364,309,55,0,0,0,0,93,60,36,0,0,210,65,89
"West Virginia","Harrison",2021,115,102,13,0,0,0,0,65,52,26,0,0,0,115,0
"West Virginia","Kanawha",2021,365,298,67,0,0,0,0,97,60,38,0,0,209,156,0
"West Virginia","Marion",2021,91,78,13,0,0,0,0,80,53,30,0,0,0,91,0
"West Virginia","Marshall",2021,353,208,144,1,0,0,0,121,70,43,0,0,0,353,0
"West Virginia","Monongalia",2021,282,241,41,0,0,0,0,80,53,38,0,0,221,61,0
"West Virginia","Ohio",2021,285,247,38,0,0,0,0,77,55,38,0,0,217,68,0
"West Virginia","Tucker",2021,362,344,18,0,0,0,0,84,46,34,0,0,362,0,0
"West Virginia","Wood",2021,271,244,27,0,0,0,0,73,50,36,0,0,203,68,0
"Wisconsin","Ashland",2021,365,317,44,3,1,0,0,157,54,35,0,0,274,91,0
"Wisconsin","Brown",2021,365,279,83,3,0,0,0,125,63,38,0,0,158,207,0
"Wisconsin","Columbia",2021,208,181,27,0,0,0,0,100,54,40,0,0,208,0,0
"Wisconsin","Dane",2021,365,249,115,1,0,0,0,101,64,42,0,0,140,225,0
"Wisconsin","Dodge",2021,365,261,104,0,0,0,0,99,67,41,0,0,233,132,0
"Wisconsin","Door",2021,206,173,30,3,0,0,0,126,61,39,0,0,206,0,0
"Wisconsin","Eau Claire",2021,362,269,88,4,1,0,0,153,66,39,0,0,142,219,1
"Wisconsin","Fond du Lac",2021,208,178,30,0,0,0,0,90,54,39,0,0,208,0,0
"Wisconsin","Forest",2021,361,310,47,3,1,0,0,161,55,37,0,0,270,91,0
"Wisconsin","Grant",2021,355,274,81,0,0,0,0,95,60,35,0,0,0,355,0
"Wisconsin","Jackson",2021,237,212,25,0,0,0,0,97,51,23,0,0,0,237,0
"Wisconsin","Jefferson",2021,208,178,29,1,0,0,0,101,61,40,0,0,208,0,0
"Wisconsin","Kenosha",2021,344,230,103,11,0,0,0,136,73,42,0,0,214,130,0
"Wisconsin","Kewaunee",2021,207,170,35,2,0,0,0,108,61,40,0,0,207,0,0
"Wisconsin","La Crosse",2021,365,288,76,1,0,0,0,110,60,37,0,0,152,213,0
"Wisconsin","Manitowoc",2021,207,174,30,3,0,0,0,119,64,39,0,0,207,0,0
"Wisconsin","Marathon",2021,200,191,9,0,0,0,0,87,49,36,0,0,200,0,0
"Wisconsin","Milwaukee",2021,365,227,131,7,0,0,0,129,71,45,0,7,187,162,9
"Wisconsin","Monroe",2021,265,239,26,0,0,0,0,94,50,24,0,0,0,265,0
"Wisconsin","Outagamie",2021,363,267,93,3,0,0,0,139,62,38,0,0,143,220,0
"Wisconsin","Ozaukee",2021,364,275,82,7,0,0,0,129,64,38,0,0,183,181,0
"Wisconsin","Racine",2021,210,149,53,8,0,0,0,126,80,43,0,0,210,0,0
"Wisconsin","Rock",2021,205,173,32,0,0,0,0,100,61,41,0,0,205,0,0
"Wisconsin","Sauk",2021,365,281,84,0,0,0,0,95,60,38,0,0,148,215,2
"Wisconsin","Sheboygan",2021,208,164,39,5,0,0,0,126,74,41,0,0,208,0,0
"Wisconsin","Taylor",2021,364,300,60,2,2,0,0,152,59,36,0,0,257,107,0
"Wisconsin","Vilas",2021,363,320,40,3,0,0,0,148,52,31,0,0,179,184,0
"Wisconsin","Walworth",2021,221,184,36,1,0,0,0,101,61,41,0,0,221,0,0
"Wisconsin","Waukesha",2021,365,247,114,4,0,0,0,108,67,43,0,0,142,222,1
"Wyoming","Albany",2021,365,197,154,13,0,0,1,314,84,49,0,3,285,9,68
"Wyoming","Big Horn",2021,364,324,39,1,0,0,0,101,51,39,0,0,364,0,0
"Wyoming","Campbell",2021,365,222,127,16,0,0,0,143,87,44,0,0,192,18,155
"Wyoming","Carbon",2021,348,348,0,0,0,0,0,37,20,10,0,348,0,0,0
"Wyoming","Converse",2021,365,274,87,4,0,0,0,119,70,42,0,0,310,0,55
"Wyoming","Fremont",2021,365,253,104,8,0,0,0,141,77,45,0,0,325,37,3
"Wyoming","Johnson",2021,365,304,54,7,0,0,0,126,64,40,0,2,358,0,5
"Wyoming","Laramie",2021,364,265,88,11,0,0,0,126,77,43,2,3,333,25,1
"Wyoming","Lincoln",2021,365,300,59,6,0,0,0,126,67,30,0,5,131,23,206
"Wyoming","Natrona",2021,365,286,73,6,0,0,0,125,71,42,0,2,347,16,0
"Wyoming","Park",2021,137,118,19,0,0,0,0,98,58,12,0,0,0,126,11
"Wyoming","Platte",2021,362,324,28,2,3,1,4,664,51,16,0,0,0,0,362
"Wyoming","Sheridan",2021,364,308,49,7,0,0,0,115,67,39,0,0,316,26,22
"Wyoming","Sublette",2021,365,255,103,7,0,0,0,133,77,46,0,0,352,13,0
"Wyoming","Sweetwater",2021,365,243,112,9,1,0,0,195,81,45,0,2,295,13,55
"Wyoming","Teton",2021,365,283,72,10,0,0,0,131,71,44,0,0,329,34,2
"Wyoming","Uinta",2021,364,361,3,0,0,0,0,60,25,7,0,0,0,0,364
"Wyoming","Weston",2021,343,282,61,0,0,0,0,100,64,41,0,0,343,0,0
